Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10 uF,CP_EIA-1608-08_AVX-J,114.3,-101.6,0.0,top
C3,10 uF,CP_EIA-1608-08_AVX-J,177.8,-88.56,0.0,top
C6,10 micro F,CP_EIA-1608-08_AVX-J,127.0,-88.9,0.0,top
C7,1 uF,CP_EIA-1608-08_AVX-J,161.002303,-42.763028,90.0,top
C8,10 uF,CP_EIA-1608-08_AVX-J,114.3,-88.9,0.0,top
C9,1 uF,CP_EIA-1608-08_AVX-J,127.0,-76.2,0.0,top
C14,1 uF,CP_EIA-1608-08_AVX-J,101.6,-76.2,0.0,top
CHG1,Orange,D_0805_2012Metric,142.81,-37.95,90.0,top
D4,MBR120,D_0805_2012Metric,114.3,-76.05,90.0,top
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_Amphenol_12401548E4-2A,152.4,-38.1,180.0,top
JP2,Conn_01x16,PinSocket_1x16_P2.54mm_Vertical,136.175497,-128.3,0.0,top
JP3,Conn_01x12,PinSocket_1x12_P2.54mm_Vertical,165.503684,-123.249404,0.0,top
L1,RED,D_0805_2012Metric,161.47,-38.0525,90.0,top
R0,2K,R_0805_2012Metric,203.2,-63.5,0.0,top
R1,100k,R_0805_2012Metric,174.975,-58.9,0.0,top
R2,1K,R_0805_2012Metric,127.0,-50.8,0.0,top
R3,10k,R_0805_2012Metric,114.3,-50.8,0.0,top
R4,5.1K,R_0805_2012Metric,139.7,-101.6,0.0,top
R5,22,R_0805_2012Metric,127.0,-100.65,0.0,top
R6,10k,R_0805_2012Metric,101.6,-63.5,0.0,top
R7,2.2K,R_0805_2012Metric,152.4,-101.6,0.0,top
R8,22,R_0805_2012Metric,165.220872,-50.8,0.0,top
R9,100k,R_0805_2012Metric,190.5,-50.8,0.0,top
R10,5.1K,R_0805_2012Metric,203.2,-89.525,0.0,top
SW1,SPST_TACT-KMR2,SW_SPST_TL3305A,144.42,-52.17,90.0,top
TP1,ANT,TestPoint_Pad_2.5x2.5mm,145.27336,-173.940443,0.0,top
U1,ATmega32U4-MU,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,152.9,-127.0,180.0,top
U2,AP2112K-3.3,SOT-23-5,154.065,-50.8,0.0,top
U3,MCP73831-2-OT,SOT-23-5,127.0,-63.5,0.0,top
U4,RFM69HCW,HOPERF_RFM69HW,152.4,-152.4,-90.0,top
X1,JSTPH,JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical,163.6,-101.6,90.0,top
X2,ANTENNA_U.FL,U.FL_Molex_MCRF_73412-0110_Vertical,152.35,-173.6,0.0,top
Y1,8MHz Crystal,Resonator_SMD-3Pin_7.2x3.0mm,147.722781,-114.347864,90.0,top
